State Name,State FIPS,County FIPS,Household Income,Median Age,Median Male Age,Median Female Age,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Other,No Education,High School,GED,Some College,Associates Degree,Bachelors Degree,Professional Degree,Doctoral Degree
Alabama,67,4489,2698184.0,2710.1000000000004,2604.2999999999997,2812.7999999999997,3317702.0,1287167.0,25098.0,62815.0,2213.0,66942.0,41118.0,831994.0,180557.0,513751.0,267245.0,503930.0,49452.0,34195.0
Alaska,58,4340,1926338.0,1071.4,1090.4999999999998,1048.6000000000001,481971.0,23702.0,104995.0,45604.0,9075.0,10505.0,3451.0,106162.0,25131.0,94589.0,40210.0,88308.0,8878.0,4865.0
Arizona,60,208,687250.0,599.0,583.6,616.9,5277661.0,292831.0,300182.0,213417.0,13364.0,474583.0,65604.0,909646.0,181693.0,803209.0,386977.0,802435.0,79689.0,55224.0
Arkansas,375,5625,2926881.0,3099.8,2996.600000000001,3200.8999999999996,2302141.0,459969.0,19476.0,42368.0,7062.0,75106.0,23003.0,557723.0,123763.0,313209.0,132221.0,280677.0,26156.0,19501.0
California,348,3364,3540712.0,2289.4999999999995,2230.2999999999997,2366.7,23607242.0,2263222.0,292018.0,5503672.0,152027.0,5329952.0,691906.0,4752859.0,592683.0,4091953.0,2021944.0,5291984.0,616368.0,410003.0
Colorado,512,3983,3478628.0,2705.7,2634.900000000001,2795.7999999999997,4576201.0,221155.0,51406.0,164771.0,8580.0,225497.0,34489.0,647717.0,143966.0,571493.0,307078.0,909794.0,83193.0,61492.0
Connecticut,72,64,595968.0,332.59999999999997,319.40000000000003,344.6,2757064.0,376240.0,9385.0,156450.0,931.0,183754.0,25274.0,593663.0,79919.0,292319.0,188481.0,532055.0,73239.0,41842.0
Delaware,30,9,183884.0,123.39999999999999,118.69999999999999,127.9,652170.0,206290.0,3482.0,36553.0,465.0,18512.0,7723.0,181038.0,22097.0,86200.0,51028.0,117478.0,12303.0,11346.0
District of Columbia,11,1,77649.0,33.9,33.8,34.1,273471.0,321062.0,1757.0,25558.0,289.0,30961.0,5141.0,71712.0,12407.0,45479.0,14601.0,113830.0,39862.0,20333.0
Florida,804,4550,3158670.0,2901.2999999999993,2790.6000000000004,3021.9000000000005,15343997.0,3270863.0,56730.0,543394.0,12342.0,536298.0,213582.0,3565287.0,605181.0,2017461.0,1405068.0,2616384.0,295243.0,162324.0
Georgia,2067,25677,6879737.0,6284.300000000001,6061.1,6526.600000000001,6061821.0,3195268.0,30552.0,388946.0,5237.0,282570.0,91517.0,1554091.0,323121.0,1015467.0,502431.0,1241995.0,136781.0,85658.0
Hawaii,75,25,343315.0,220.29999999999998,213.59999999999997,226.0,357308.0,25884.0,2756.0,540556.0,142600.0,14056.0,10445.0,251011.0,22151.0,154591.0,102896.0,209097.0,22323.0,14394.0
Idaho,704,1936,2031565.0,1755.3000000000002,1733.5000000000005,1767.8999999999999,1507880.0,11231.0,21323.0,22720.0,2343.0,47964.0,10678.0,235912.0,56290.0,191187.0,101080.0,194303.0,15793.0,12085.0
Illinois,1734,10404,5398899.0,4238.0,4092.3999999999987,4393.700000000001,9236701.0,1833501.0,29696.0,671811.0,4275.0,767145.0,107965.0,1968185.0,313339.0,1242962.0,682300.0,1776326.0,187683.0,110749.0
Indiana,1656,8464,4772721.0,3694.6000000000004,3585.5999999999995,3811.599999999999,5546787.0,613060.0,15027.0,137680.0,2635.0,145791.0,39437.0,1248705.0,226167.0,614362.0,372514.0,704841.0,61395.0,44691.0
Iowa,1881,9801,5290172.0,4150.7,4000.8999999999987,4302.6,2824197.0,106762.0,10791.0,71178.0,2913.0,39527.0,15497.0,568172.0,83578.0,288881.0,234511.0,386963.0,32657.0,24058.0
