County_Name,parent_state_name,Latitude,Longitude,,,,,,,,,,,
Autauga,Alabama,32.500389,-86.494165,,,,,,,,,,,
Baldwin,Alabama,30.548923,-87.762381,,,,,,,,,,,
Barbour,Alabama,31.844036,-85.310038,,,,,,,,,,,
Bibb,Alabama,33.030921,-87.127659,,,,,,,,,,,
Blount,Alabama,33.955243,-86.591491,,,,,,,,,,,
Bullock,Alabama,32.116327,-85.701192,,,,,,,,,,,
Butler,Alabama,31.773539,-86.65355,,,,,,,,,,,
Calhoun,Alabama,33.72546,-85.819442,,,,,,,,,,,
Chambers,Alabama,32.860439,-85.266474,,,,,,,,,,,
Cherokee,Alabama,34.179333,-85.629194,,,,,,,,,,,
Chilton,Alabama,32.877547,-86.687406,,,,,,,,,,,
Choctaw,Alabama,32.016562,-88.264164,,,,,,,,,,,
Clarke,Alabama,31.685685,-87.815673,,,,,,,,,,,
Clay,Alabama,33.272412,-85.820227,,,,,,,,,,,
Cleburne,Alabama,33.62977,-85.494315,,,,,,,,,,,
Coffee,Alabama,31.354433,-85.904715,,,,,,,,,,,
Colbert,Alabama,34.723385,-87.685151,,,,,,,,,,,
Conecuh,Alabama,31.418674,-86.996483,,,,,,,,,,,
Coosa,Alabama,32.975932,-86.155035,,,,,,,,,,,
Covington,Alabama,31.282449,-86.410955,,,,,,,,,,,
Crenshaw,Alabama,31.743487,-86.29708,,,,,,,,,,,
Cullman,Alabama,34.162362,-86.831859,,,,,,,,,,,
Dale,Alabama,31.383346,-85.641269,,,,,,,,,,,
Dallas,Alabama,32.408815,-87.034955,,,,,,,,,,,
DeKalb,Alabama,34.45511,-85.817208,,,,,,,,,,,
Elmore,Alabama,32.559652,-86.225647,,,,,,,,,,,
Escambia,Alabama,31.088737,-87.282053,,,,,,,,,,,
Etowah,Alabama,34.013693,-86.025393,,,,,,,,,,,
Fayette,Alabama,33.726422,-87.770355,,,,,,,,,,,
Franklin,Alabama,34.460481,-87.793594,,,,,,,,,,,
Geneva,Alabama,31.09426,-85.788849,,,,,,,,,,,
Greene,Alabama,32.830505,-87.924,,,,,,,,,,,
Hale,Alabama,32.775804,-87.626084,,,,,,,,,,,
Henry,Alabama,31.478593,-85.268828,,,,,,,,,,,
Houston,Alabama,31.20455,-85.391221,,,,,,,,,,,
Jackson,Alabama,34.731984,-85.938698,,,,,,,,,,,
Jefferson,Alabama,33.518601,-86.814688,,,,,,,,,,,
Lamar,Alabama,33.762769,-88.109649,,,,,,,,,,,
Lauderdale,Alabama,34.866179,-87.608759,,,,,,,,,,,
Lawrence,Alabama,34.543683,-87.272414,,,,,,,,,,,
Lee,Alabama,32.588092,-85.345833,,,,,,,,,,,
Limestone,Alabama,34.815612,-86.938972,,,,,,,,,,,
Lowndes,Alabama,32.162415,-86.618688,,,,,,,,,,,
Macon,Alabama,32.425739,-85.715007,,,,,,,,,,,
Madison,Alabama,34.746392,-86.613232,,,,,,,,,,,
Marengo,Alabama,32.340479,-87.800648,,,,,,,,,,,
Marion,Alabama,34.111797,-87.8743,,,,,,,,,,,
Marshall,Alabama,34.311974,-86.293279,,,,,,,,,,,
Mobile,Alabama,30.683993,-88.170637,,,,,,,,,,,
Monroe,Alabama,31.505611,-87.360894,,,,,,,,,,,
Montgomery,Alabama,32.346175,-86.243797,,,,,,,,,,,
Morgan,Alabama,34.514252,-86.930781,,,,,,,,,,,
Perry,Alabama,32.581066,-87.369219,,,,,,,,,,,
Pickens,Alabama,33.292973,-88.066472,,,,,,,,,,,
Pike,Alabama,31.787277,-85.948647,,,,,,,,,,,
Randolph,Alabama,33.257607,-85.427266,,,,,,,,,,,
Russell,Alabama,32.421972,-85.062843,,,,,,,,,,,
St. Clair,Alabama,33.660628,-86.369107,,,,,,,,,,,
Shelby,Alabama,33.290719,-86.737978,,,,,,,,,,,
Sumter,Alabama,32.57442,-88.232646,,,,,,,,,,,
Talladega,Alabama,33.372083,-86.169238,,,,,,,,,,,
Tallapoosa,Alabama,32.85306,-85.864503,,,,,,,,,,,
Tuscaloosa,Alabama,33.214154,-87.520229,,,,,,,,,,,
Walker,Alabama,33.834858,-87.253922,,,,,,,,,,,
Washington,Alabama,31.410368,-88.18612,,,,,,,,,,,
Wilcox,Alabama,31.999753,-87.380407,,,,,,,,,,,
Winston,Alabama,34.163824,-87.415693,,,,,,,,,,,
Aleutians East Borough,Alaska,54.860151,-162.901536,,,,,,,,,,,
Aleutians West Census,Alaska,54.023571,-168.292885,,,,,,,,,,,
Anchorage Municipality,Alaska,61.192232,-149.793182,,,,,,,,,,,
Bethel Census,Alaska,60.679946,-162.151263,,,,,,,,,,,
Bristol Bay Borough,Alaska,58.735464,-156.834047,,,,,,,,,,,
Denali Borough,Alaska,63.882845,-149.032949,,,,,,,,,,,
Dillingham Census,Alaska,59.136256,-158.718472,,,,,,,,,,,
Fairbanks North Star Borough,Alaska,64.831552,-147.624018,,,,,,,,,,,
Haines Borough,Alaska,59.264125,-135.559897,,,,,,,,,,,
Hoonah-Angoon Census,Alaska,58.078282,-135.384163,,,,,,,,,,,
Juneau City and Borough,Alaska,58.358516,-134.530605,,,,,,,,,,,
Kenai Peninsula Borough,Alaska,60.292592,-151.064475,,,,,,,,,,,
Ketchikan Gateway Borough,Alaska,55.367858,-131.678527,,,,,,,,,,,
Kodiak Island Borough,Alaska,57.779137,-152.460881,,,,,,,,,,,
Lake and Peninsula Borough,Alaska,58.557351,-156.371652,,,,,,,,,,,
Matanuska-Susitna Borough,Alaska,61.611281,-149.421961,,,,,,,,,,,
Nome Census,Alaska,64.457026,-165.295491,,,,,,,,,,,
North Slope Borough,Alaska,70.522779,-154.862085,,,,,,,,,,,
Northwest Arctic Borough,Alaska,66.943735,-161.638185,,,,,,,,,,,
Petersburg Census,Alaska,56.812712,-133.115025,,,,,,,,,,,
Prince of Wales-Hyder Census,Alaska,55.448164,-132.560842,,,,,,,,,,,
Sitka City and Borough,Alaska,57.062746,-135.337171,,,,,,,,,,,
Skagway Municipality,Alaska,59.464536,-135.311501,,,,,,,,,,,
Southeast Fairbanks Census,Alaska,63.856185,-144.687024,,,,,,,,,,,
Valdez-Cordova Census,Alaska,61.26149,-145.882504,,,,,,,,,,,
Wade Hampton Census,Alaska,62.089902,-164.314723,,,,,,,,,,,
Wrangell City and Borough,Alaska,56.385821,-132.310837,,,,,,,,,,,
Yakutat City and Borough,Alaska,59.547975,-139.724878,,,,,,,,,,,
Yukon-Koyukuk Census,Alaska,65.010262,-152.550423,,,,,,,,,,,
Apache,Arizona,35.577687,-109.41484,,,,,,,,,,,
Cochise,Arizona,31.607357,-110.063053,,,,,,,,,,,
Coconino,Arizona,35.514426,-111.590056,,,,,,,,,,,
Gila,Arizona,33.82356,-111.007494,,,,,,,,,,,
Graham,Arizona,32.86733,-109.812181,,,,,,,,,,,
Greenlee,Arizona,32.970402,-109.248712,,,,,,,,,,,
La Paz,Arizona,33.908361,-114.172146,,,,,,,,,,,
Maricopa,Arizona,33.493403,-112.04143,,,,,,,,,,,
Mohave,Arizona,35.069679,-114.249634,,,,,,,,,,,
Navajo,Arizona,34.893625,-110.211155,,,,,,,,,,,
Pima,Arizona,32.216707,-110.96001,,,,,,,,,,,
Pinal,Arizona,33.060133,-111.588364,,,,,,,,,,,
Santa Cruz,Arizona,31.434733,-110.943195,,,,,,,,,,,
Yavapai,Arizona,34.629014,-112.267767,,,,,,,,,,,
Yuma,Arizona,32.65004,-114.598663,,,,,,,,,,,
Arkansas,Arkansas,34.405316,-91.461284,,,,,,,,,,,
Ashley,Arkansas,33.179373,-91.87136,,,,,,,,,,,
Baxter,Arkansas,36.332208,-92.383933,,,,,,,,,,,
Benton,Arkansas,36.337348,-94.230543,,,,,,,,,,,
Boone,Arkansas,36.267871,-93.099344,,,,,,,,,,,
Bradley,Arkansas,33.569321,-92.103312,,,,,,,,,,,
Calhoun,Arkansas,33.591116,-92.495555,,,,,,,,,,,
Carroll,Arkansas,36.373069,-93.570816,,,,,,,,,,,
Chicot,Arkansas,33.32186,-91.318378,,,,,,,,,,,
Clark,Arkansas,34.094705,-93.124856,,,,,,,,,,,
Clay,Arkansas,36.370695,-90.372418,,,,,,,,,,,
Cleburne,Arkansas,35.510232,-92.037481,,,,,,,,,,,
