State Name,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Other,Total Ethnicity,White Percentage,Black or African American Percentage,American Indian and Alaska Native Percentage,Asian Percentage,Native Hawaiian and Other Pacific Islander Percentage,Other Percentage
Alabama,3317702.0,1287167.0,25098.0,62815.0,2213.0,66942.0,4761937.0,0.696712703254999,0.2703032400470649,0.005270544318414964,0.013191060696519085,0.0004647268537991998,0.014057724829202907
Alaska,481971.0,23702.0,104995.0,45604.0,9075.0,10505.0,675852.0,0.7131309813391098,0.0350698081828566,0.15535205932659812,0.06747631138178181,0.013427495960654108,0.015543343808999603
Arizona,5277661.0,292831.0,300182.0,213417.0,13364.0,474583.0,6572038.0,0.8030478521274527,0.044557106943082195,0.04567563364667094,0.032473488436920175,0.002033463592267726,0.07221245525360627
Arkansas,2302141.0,459969.0,19476.0,42368.0,7062.0,75106.0,2906122.0,0.792169427161007,0.1582758741718345,0.00670171451852331,0.014578878656849231,0.0024300425102593767,0.025844062981526583
California,23607242.0,2263222.0,292018.0,5503672.0,152027.0,5329952.0,37148133.0,0.6354893259373223,0.06092424617947825,0.007860906495623885,0.14815474037416632,0.00409245331387179,0.14347832769953742
Colorado,4576201.0,221155.0,51406.0,164771.0,8580.0,225497.0,5247610.0,0.8720543256835016,0.04214394743511808,0.009796078595779793,0.031399246514127385,0.0016350300422478042,0.042971371729225306
Connecticut,2757064.0,376240.0,9385.0,156450.0,931.0,183754.0,3483824.0,0.7913901505931413,0.1079962707645392,0.002693878910071232,0.04490754986474633,0.0002672350842063204,0.0527449147832956
Delaware,652170.0,206290.0,3482.0,36553.0,465.0,18512.0,917472.0,0.7108336821178194,0.22484609884552334,0.003795211189006313,0.03984099787241464,0.0005068274563147431,0.020177182518921557
District of Columbia,273471.0,321062.0,1757.0,25558.0,289.0,30961.0,653098.0,0.41872888907943373,0.49159850435922325,0.0026902547550291074,0.03913348379569376,0.0004425063313622152,0.047406361679257936
Florida,15343997.0,3270863.0,56730.0,543394.0,12342.0,536298.0,19763624.0,0.7763756788734698,0.1654991513702143,0.002870424978738717,0.027494653814502848,0.0006244806114506125,0.027135610351623773
Georgia,6061821.0,3195268.0,30552.0,388946.0,5237.0,282570.0,9964394.0,0.6083481845458941,0.32066857251931224,0.0030661172169627175,0.03903358297554272,0.0005255713493464831,0.02835797139294171
Hawaii,357308.0,25884.0,2756.0,540556.0,142600.0,14056.0,1083160.0,0.3298755493186602,0.023896746556372098,0.002544407105136822,0.4990546179696444,0.1316518335241331,0.0129768455260534
Idaho,1507880.0,11231.0,21323.0,22720.0,2343.0,47964.0,1613461.0,0.9345624096275026,0.006960812811713454,0.013215689750170597,0.014081530325182945,0.0014521578147844913,0.029727399670645898
Illinois,9236701.0,1833501.0,29696.0,671811.0,4275.0,767145.0,12543129.0,0.7363952806353183,0.14617572696573558,0.0023675113283136927,0.05356008058276368,0.0003408240479708054,0.06116057643989789
Indiana,5546787.0,613060.0,15027.0,137680.0,2635.0,145791.0,6460980.0,0.8585055208343007,0.09488653424093559,0.002325808159133754,0.021309460793873376,0.00040783286745973524,0.02256484310429687
Iowa,2824197.0,106762.0,10791.0,71178.0,2913.0,39527.0,3055368.0,0.9243393921779635,0.03494243573932829,0.0035318167893360146,0.023296048135609197,0.0009534039762149764,0.012936903181548016
Kansas,2465518.0,168470.0,23503.0,80738.0,1923.0,65253.0,2805405.0,0.8788456568659427,0.06005193546029896,0.008377756509309707,0.028779445392020046,0.0006854625268009432,0.023259743245627636
Kentucky,3862600.0,353088.0,9324.0,59593.0,2271.0,41197.0,4328073.0,0.8924525995749147,0.08158087906557954,0.0021543074712464414,0.01376894520956555,0.0005247138853711571,0.009518554793322571
Louisiana,2909599.0,1500648.0,27094.0,80980.0,1401.0,56216.0,4575938.0,0.6358475573751218,0.32794325447591294,0.005920971831349113,0.017696918096355325,0.00030616673565070157,0.012285131485610163
Maine,1258918.0,16906.0,8212.0,14804.0,249.0,2967.0,1302056.0,0.9668693205207763,0.012984080561819154,0.006306948395460718,0.011369710672966446,0.00019123601442641485,0.002278703834550895
Maryland,3395212.0,1782256.0,16281.0,373065.0,2830.0,236834.0,5806478.0,0.5847282982902888,0.30694269400486834,0.002803937257662907,0.06424979135372597,0.000487386673987226,0.04078789241946667
Massachusetts,5358373.0,499774.0,14336.0,426225.0,2253.0,278835.0,6579796.0,0.8143676490882088,0.07595585030295772,0.0021787909533973393,0.06477784417632401,0.00034241183161301655,0.0423774536474991
Michigan,7813199.0,1374515.0,51804.0,289082.0,2808.0,115258.0,9646666.0,0.8099377546605221,0.14248601537567487,0.0053701454989734275,0.029967037316312183,0.0002910850235718745,0.011947962124945552
Minnesota,4598252.0,326953.0,57566.0,255935.0,1976.0,95600.0,5336282.0,0.8616958399125084,0.06126981295216407,0.010787660772050652,0.0479612958985301,0.0003702952730009396,0.017915095191745865
Mississippi,1755471.0,1122576.0,13258.0,28859.0,597.0,27530.0,2948291.0,0.5954198550957148,0.38075481694310365,0.004496842408025531,0.009788382490059495,0.0002024901883837111,0.009337612874712842
Missouri,5004537.0,703061.0,25933.0,112959.0,6336.0,71084.0,5923910.0,0.8448030101740236,0.11868191785493028,0.0043776829830297894,0.019068318053447806,0.0010695638522529884,0.011999507082315565
Montana,916664.0,4438.0,66865.0,7448.0,571.0,5492.0,1001478.0,0.915311170090606,0.004431450316432313,0.06676631937995642,0.007437008102025207,0.0005701573074995157,0.005483894803480456
Nebraska,1663612.0,89718.0,16012.0,42208.0,1524.0,35276.0,1848350.0,0.9000524792382395,0.04853950821002516,0.00866286147104174,0.022835501934157492,0.0008245191657424189,0.01908512998079368
