State Name,Household Income,Median Age,Median Male Age,Median Female Age,No College Degree,No College Degree Percentage,Associates or Bachelors Degree,Associates or Bachelors Degree Percentage,Post Graduate Degree,Post Graduate Degree Percentage,White,White Percentage,Black or African American,Black or African American Percentage,American Indian and Alaska Native,American Indian and Alaska Native Percentage,Asian,Asian Percentage,Native Hawaiian and Other Pacific Islander,Native Hawaiian and Other Pacific Islander Percentage,Other,Other Percentage
Alabama,40271.4,40.45,38.87,41.98,1567420.0,0.647094716382591,771175.0,0.31837240044553766,83647.0,0.03453288317187135,3317702.0,0.696712703254999,1287167.0,0.2703032400470649,25098.0,0.005270544318414964,62815.0,0.013191060696519085,2213.0,0.0004647268537991998,66942.0,0.014057724829202907
Alaska,66425.45,36.94,37.6,36.16,229333.0,0.617160126374484,128518.0,0.3458559610757978,13743.0,0.036983912549718244,481971.0,0.7131309813391098,23702.0,0.0350698081828566,104995.0,0.15535205932659812,45604.0,0.06747631138178181,9075.0,0.013427495960654108,10505.0,0.015543343808999603
Arizona,45816.67,39.93,38.91,41.13,1960152.0,0.5967927313846314,1189412.0,0.3621313225819514,134913.0,0.041075946033417195,5277661.0,0.8030478521274527,292831.0,0.044557106943082195,300182.0,0.04567563364667094,213417.0,0.032473488436920175,13364.0,0.002033463592267726,474583.0,0.07221245525360627
Arkansas,39025.08,41.33,39.95,42.68,1017698.0,0.6893791240390367,412898.0,0.2796932504116842,45657.0,0.030927625549279154,2302141.0,0.792169427161007,459969.0,0.1582758741718345,19476.0,0.00670171451852331,42368.0,0.014578878656849231,7062.0,0.0024300425102593767,75106.0,0.025844062981526583
California,61046.76,39.47,38.45,40.81,10129401.0,0.5484334342192889,7313928.0,0.39599603675208583,1026371.0,0.05557052902862526,23607242.0,0.6354893259373223,2263222.0,0.06092424617947825,292018.0,0.007860906495623885,5503672.0,0.14815474037416632,152027.0,0.00409245331387179,5329952.0,0.14347832769953742
Colorado,54353.56,42.28,41.17,43.68,1397665.0,0.5065431487571497,1216872.0,0.4410199686723286,144685.0,0.05243688257052169,4576201.0,0.8720543256835016,221155.0,0.04214394743511808,51406.0,0.009796078595779793,164771.0,0.031399246514127385,8580.0,0.0016350300422478042,225497.0,0.042971371729225306
Connecticut,74496.0,41.58,39.93,43.08,991175.0,0.5425768231960727,720536.0,0.3944269517273997,115081.0,0.06299622507652759,2757064.0,0.7913901505931413,376240.0,0.1079962707645392,9385.0,0.002693878910071232,156450.0,0.04490754986474633,931.0,0.0002672350842063204,183754.0,0.0527449147832956
Delaware,61294.67,41.13,39.57,42.63,297058.0,0.6072160797035239,168506.0,0.3444430135748641,23649.0,0.04834090672161206,652170.0,0.7108336821178194,206290.0,0.22484609884552334,3482.0,0.003795211189006313,36553.0,0.03984099787241464,465.0,0.0005068274563147431,18512.0,0.020177182518921557
District of Columbia,77649.0,33.9,33.8,34.1,134739.0,0.4166777480556028,128431.0,0.3971703802204939,60195.0,0.18615187172390332,273471.0,0.41872888907943373,321062.0,0.49159850435922325,1757.0,0.0026902547550291074,25558.0,0.03913348379569376,289.0,0.0004425063313622152,30961.0,0.047406361679257936
Florida,47144.33,43.3,41.65,45.1,6401511.0,0.5883455125807291,4021452.0,0.3696007455519171,457567.0,0.04205374186735389,15343997.0,0.7763756788734698,3270863.0,0.1654991513702143,56730.0,0.002870424978738717,543394.0,0.027494653814502848,12342.0,0.0006244806114506125,536298.0,0.027135610351623773
