State Name,Household Income,Median Age,Median Male Age,Median Female Age,No College Degree,No College Degree Percentage,Associates or Bachelors Degree,Associates or Bachelors Degree Percentage,Post Graduate Degree,Post Graduate Degree Percentage,White,White Percentage,Black or African American,Black or African American Percentage,American Indian and Alaska Native,American Indian and Alaska Native Percentage,Asian,Asian Percentage,Native Hawaiian and Other Pacific Islander,Native Hawaiian and Other Pacific Islander Percentage,Other,Other Percentage
Alabama,"$40,271.40",40.45,38.87,41.98,1567420.0,64.71%,771175.0,31.84%,83647.0,3.45%,3317702.0,69.67%,1287167.0,27.03%,25098.0,0.53%,62815.0,1.32%,2213.0,0.05%,66942.0,1.41%
Alaska,"$66,425.45",36.94,37.6,36.16,229333.0,61.72%,128518.0,34.59%,13743.0,3.70%,481971.0,71.31%,23702.0,3.51%,104995.0,15.54%,45604.0,6.75%,9075.0,1.34%,10505.0,1.55%
Arizona,"$45,816.67",39.93,38.91,41.13,1960152.0,59.68%,1189412.0,36.21%,134913.0,4.11%,5277661.0,80.30%,292831.0,4.46%,300182.0,4.57%,213417.0,3.25%,13364.0,0.20%,474583.0,7.22%
Arkansas,"$39,025.08",41.33,39.95,42.68,1017698.0,68.94%,412898.0,27.97%,45657.0,3.09%,2302141.0,79.22%,459969.0,15.83%,19476.0,0.67%,42368.0,1.46%,7062.0,0.24%,75106.0,2.58%
California,"$61,046.76",39.47,38.45,40.81,10129401.0,54.84%,7313928.0,39.60%,1026371.0,5.56%,23607242.0,63.55%,2263222.0,6.09%,292018.0,0.79%,5503672.0,14.82%,152027.0,0.41%,5329952.0,14.35%
Colorado,"$54,353.56",42.28,41.17,43.68,1397665.0,50.65%,1216872.0,44.10%,144685.0,5.24%,4576201.0,87.21%,221155.0,4.21%,51406.0,0.98%,164771.0,3.14%,8580.0,0.16%,225497.0,4.30%
Connecticut,"$74,496.00",41.58,39.93,43.08,991175.0,54.26%,720536.0,39.44%,115081.0,6.30%,2757064.0,79.14%,376240.0,10.80%,9385.0,0.27%,156450.0,4.49%,931.0,0.03%,183754.0,5.27%
Delaware,"$61,294.67",41.13,39.57,42.63,297058.0,60.72%,168506.0,34.44%,23649.0,4.83%,652170.0,71.08%,206290.0,22.48%,3482.0,0.38%,36553.0,3.98%,465.0,0.05%,18512.0,2.02%
District of Columbia,"$77,649.00",33.9,33.8,34.1,134739.0,41.67%,128431.0,39.72%,60195.0,18.62%,273471.0,41.87%,321062.0,49.16%,1757.0,0.27%,25558.0,3.91%,289.0,0.04%,30961.0,4.74%
Florida,"$47,144.33",43.3,41.65,45.1,6401511.0,58.83%,4021452.0,36.96%,457567.0,4.21%,15343997.0,77.64%,3270863.0,16.55%,56730.0,0.29%,543394.0,2.75%,12342.0,0.06%,536298.0,2.71%
